"","MS_SubClass","MS_Zoning","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_Type_2","Heating","Heating_QC","Central_Air","Electrical","Kitchen_Qual","Functional","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Qual","Garage_Cond","Paved_Drive","Pool_QC","Fence","Misc_Feature","Sale_Type","Sale_Condition","PID","Lot_Frontage","Lot_Area","Year_Built","Year_Remod_Add","Mas_Vnr_Area","BsmtFin_SF_1","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Yr_Blt","Garage_Cars","Garage_Area","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Misc_Val","Mo_Sold","Year_Sold","Sale_Price"
"11","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","Other","Other","None","Typical","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Other","Y","SBrkr","Typical","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527163010,75,10000,1993,1994,0,7,0,763,763,763,892,0,1655,0,0,2,1,3,1,7,1,1993,2,440,157,84,0,0,0,0,0,4,2010,175900
"12","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Other","Gable","CompShg","Other","Other","None","Typical","Other","PConc","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","No_Fireplace","Attchd","Fin","Typical","Typical","Paved","No_Pool","Other","Other","WD ","Normal",527165230,0,7980,1992,2007,0,1,0,233,1168,1187,0,0,1187,1,0,2,0,3,1,6,0,1992,2,420,483,21,0,0,0,0,500,3,2010,185000
"13","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Other","Y","SBrkr","Typical","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527166040,63,8402,1998,1998,0,7,0,789,789,789,676,0,1465,0,0,2,1,3,1,7,1,1998,2,393,0,75,0,0,0,0,0,5,2010,180400
"14","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Good","Average","Gable","CompShg","Other","Other","None","Typical","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Other","Y","SBrkr","Good","Typ","Other","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527180040,85,10176,1990,1990,0,3,0,663,1300,1341,0,0,1341,1,0,1,1,2,1,5,1,1990,2,506,192,0,0,0,0,0,0,2,2010,171500
"15","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","Other","GLQ","Other","GasA","Typical","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527182190,0,6820,1985,1985,0,3,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,1985,2,528,0,54,0,0,140,0,0,6,2010,212000
"16","Other","Residential_Low_Density","No_Alley_Access","Other","Other","AllPub","Other","Other","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Other","CompShg","Other","Other","BrkFace","Other","Typical","PConc","Good","Typical","Other","Other","Unf","GasA","Excellent","Y","SBrkr","Other","Other","Good","Other","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527216070,47,53504,2003,2003,603,1,0,234,1650,1690,1589,0,3279,1,0,3,1,4,1,12,1,2003,3,841,503,36,0,0,210,0,0,6,2010,538000
"17","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Other","AllPub","Inside","Other","Other","Norm","Norm","OneFam","Other","Other","Other","Gable","CompShg","Other","Other","None","Good","Typical","Other","Good","Typical","Other","GLQ","Unf","GasA","Other","Y","SBrkr","Typical","Typ","No_Fireplace","Other","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527225035,152,12134,1988,2005,0,3,0,132,559,1080,672,0,1752,0,0,2,0,4,1,8,0,1988,2,492,325,12,0,0,0,0,0,6,2010,164000
"18","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Other","Other","CompShg","VinylSd","VinylSd","Other","Good","Typical","PConc","Other","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Other","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",527258010,88,11394,2010,2010,350,3,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,6,2010,394432
"19","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","No_Fireplace","Detchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527276150,140,19138,1951,1951,0,4,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,141000
"20","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Other","Gable","CompShg","Other","Other","Other","Typical","Typical","CBlock","Good","Typical","No","Other","Other","GasA","Typical","Y","SBrkr","Typical","Other","Typical","Attchd","Unf","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",527302110,85,13175,1978,1988,119,1,163,589,1542,2073,0,0,2073,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010,210000
"21","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Other","Other","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","Other","None","Other","Normal",527358140,105,11751,1977,1977,480,2,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,0,0,1,2010,190000
"22","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Other","Good","Other","Gable","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Good","Typical","Other","GLQ","Other","GasA","Typical","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","Other","None","WD ","Other",527358200,85,10625,1974,1974,81,3,168,0,1053,1173,0,0,1173,1,0,2,0,3,1,6,2,1974,2,528,0,120,0,0,0,0,0,1,2010,170000
"23","Other","Other","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527368020,0,7500,2000,2000,0,3,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2000,2,663,0,96,0,0,0,0,0,1,2010,216000
"24","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Other","Gable","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","Other","WD ","Normal",527402200,0,11241,1970,1970,180,1,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,700,3,2010,149000
"25","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Average","Other","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","CBlock","Typical","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Other","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527402250,0,12537,1971,2008,0,3,0,344,1078,1078,0,0,1078,1,0,1,1,3,1,6,1,1971,2,500,0,0,0,0,0,0,0,4,2010,149900
"26","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Average","Other","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","Other","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527403020,65,8450,1968,1968,0,2,0,281,1056,1056,0,0,1056,1,0,1,0,3,1,6,1,1968,1,304,0,85,184,0,0,0,0,7,2010,142000
"27","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Other","GasA","Typical","Y","SBrkr","Typical","Typ","No_Fireplace","Attchd","Fin","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",527404120,70,8400,1970,1970,0,1,78,0,882,882,0,0,882,1,0,1,0,2,1,4,0,1970,2,525,240,0,0,0,0,0,0,4,2010,126000
"28","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Typical","Typ","Other","Other","Other","Other","Other","Paved","No_Pool","No_Fence","None","Other","Normal",527425090,70,10500,1971,1971,0,1,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,NA,0,0,0,0,0,0,0,0,0,4,2010,115000
"29","Other","Other","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","Other","One_Story","Good","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","No","GLQ","Other","GasA","Excellent","Y","SBrkr","Good","Typ","Other","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527427230,26,5858,1999,1999,0,3,0,354,1405,1337,0,0,1337,1,0,2,0,2,1,5,1,1999,2,511,203,68,0,0,0,0,0,6,2010,184000
"30","Other","Other","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","Two_Story","Above_Average","Average","Gable","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Typical","Typ","No_Fireplace","Detchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Normal",527451180,21,1680,1971,1971,504,6,0,327,483,483,504,0,987,0,0,1,1,2,1,5,0,1971,1,264,275,0,0,0,0,0,0,2,2010,96000
"31","Other","Other","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","Two_Story","Average","Average","Gable","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Typical","Typ","No_Fireplace","Detchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527451330,21,1680,1971,1971,492,6,0,225,525,525,567,0,1092,0,0,1,1,3,1,6,0,1997,1,320,0,0,0,0,0,0,0,3,2010,105500
"32","Other","Other","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","Two_Story","Above_Average","Average","Gable","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Typical","Typical","No","Unf","Unf","GasA","Typical","Y","SBrkr","Typical","Typ","No_Fireplace","Detchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Other",527451410,21,1680,1971,1971,381,7,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010,88000
"33","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Above_Average","Average","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Good","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Typical","Typ","Other","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527452190,53,4043,1977,1977,0,1,0,709,1069,1069,0,0,1069,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010,127500
"34","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","Other","Two_Story","Above_Average","Other","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Good","Typ","Typical","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527453130,24,2280,1975,1975,0,1,0,341,855,855,601,0,1456,0,0,2,1,3,1,6,1,1975,2,440,173,0,0,0,0,0,0,6,2010,149900
"35","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","Other","One_Story","Good","Other","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Typical","Typ","No_Fireplace","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527453150,24,2280,1975,1975,0,7,0,836,836,836,0,0,836,0,0,1,0,2,1,4,0,1975,1,308,0,30,0,0,0,0,0,6,2010,120000
"36","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","Two_Story","Above_Average","Average","Gable","CompShg","Other","Other","None","Typical","Typical","CBlock","Good","Typical","No","Other","Unf","GasA","Other","Y","SBrkr","Typical","Typ","Typical","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527454200,24,2280,1978,1978,0,1,0,544,855,855,601,0,1456,0,0,2,1,3,1,7,1,1978,2,440,26,0,0,0,0,0,0,7,2010,146000
"37","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","Other","Other","Typical","PConc","Other","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",528108120,102,12858,2009,2010,162,7,0,1590,1590,1627,707,0,2334,0,0,2,1,3,1,10,1,2009,3,751,144,133,0,0,0,0,0,1,2010,376162
"38","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","Other","Good","Typical","PConc","Other","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528112020,98,11478,2007,2008,200,3,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,2010,306000
"39","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","Other","Other","Typical","PConc","Other","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",528120060,83,10159,2009,2010,450,3,0,284,1930,1940,0,0,1940,1,0,2,1,3,1,8,1,2010,3,606,168,95,0,0,0,0,0,4,2010,395192
"40","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Gable","CompShg","VinylSd","VinylSd","Other","Good","Typical","PConc","Good","Typical","No","Unf","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",528120090,94,12883,2009,2010,256,7,0,1544,1544,1544,0,0,1544,0,0,2,0,3,1,7,0,2009,3,868,0,35,0,0,0,0,0,6,2010,290941
"41","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","Other","Other","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","Other","Other",528120100,95,12182,2005,2005,226,2,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,0,0,5,2010,220000
"42","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Other","Norm","OneFam","One_Story","Other","Average","Other","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Other","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528120120,90,11520,2005,2005,615,3,0,1588,1698,1698,0,0,1698,0,0,2,0,3,1,7,1,2005,3,730,192,74,0,0,0,0,0,6,2010,275000
"43","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Other","Average","Other","CompShg","Other","Other","BrkFace","Good","Typical","PConc","Other","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Good","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528138020,79,14122,2005,2006,240,3,0,1794,1822,1822,0,0,1822,0,0,2,0,3,1,8,1,2005,3,678,0,119,0,0,0,0,0,2,2010,259000
"44","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","One_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","BrkFace","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",528138060,70,10171,2004,2004,168,3,0,1515,1517,1535,0,0,1535,0,0,2,0,3,1,7,0,2004,2,532,0,0,0,0,0,0,0,3,2010,214000
